Date,Decision,Rate_Change_bps,Repo_Rate_After
04-10-2016,Cut,-25,6.25
07-12-2016,Hold,0,6.25
08-02-2017,Hold,0,6.25
06-04-2017,Hold,0,6.25
07-06-2017,Hold,0,6.25
02-08-2017,Cut,-25,6
04-10-2017,Hold,0,6
06-12-2017,Hold,0,6
07-02-2018,Hold,0,6
05-04-2018,Hold,0,6
06-06-2018,Hike,25,6.25
01-08-2018,Hike,25,6.5
05-10-2018,Hold,0,6.5
05-12-2018,Hold,0,6.5
07-02-2019,Cut,-25,6.25
04-04-2019,Cut,-25,6
06-06-2019,Cut,-25,5.75
07-08-2019,Cut,-35,5.4
04-10-2019,Cut,-25,5.15
05-12-2019,Hold,0,5.15
06-02-2020,Hold,0,5.15
27-03-2020,Cut,-75,4.4
22-05-2020,Cut,-40,4
06-08-2020,Hold,0,4
09-10-2020,Hold,0,4
04-12-2020,Hold,0,4
05-02-2021,Hold,0,4
07-04-2021,Hold,0,4
04-06-2021,Hold,0,4
06-08-2021,Hold,0,4
08-10-2021,Hold,0,4
08-12-2021,Hold,0,4
10-02-2022,Hold,0,4
08-04-2022,Hold,0,4
04-05-2022,Hike,40,4.4
08-06-2022,Hike,50,4.9
05-08-2022,Hike,50,5.4
30-09-2022,Hike,50,5.9
07-12-2022,Hike,35,6.25
08-02-2023,Hike,25,6.5
06-04-2023,Hold,0,6.5
08-06-2023,Hold,0,6.5
10-08-2023,Hold,0,6.5
06-10-2023,Hold,0,6.5
08-12-2023,Hold,0,6.5
08-02-2024,Hold,0,6.5
05-04-2024,Hold,0,6.5
07-06-2024,Hold,0,6.5
08-08-2024,Hold,0,6.5
09-10-2024,Hold,0,6.5
06-12-2024,Hold,0,6.5
07-02-2025,Cut,-25,6.25